Country,Observation_Year,CovidPeriod,Online_Learning_Users (%),Average_Screen_Time (Hours),DeviceUsage(%),Preferred_Learning_Platform
Italy,2021,During,47,3.2,60-30-10,OpenLearning
South Korea,2019,Before,81,2.5,60-30-10,OpenLearning
Germany,2021,During,50,3.1,60-30-10,FutureLearn
Italy,2019,Before,80,0.8,60-30-10,LinkedIn Learning
Germany,2020,During,58,3.4,60-30-10,Skillshare
Germany,2020,During,47,5.1,60-30-10,Unacademy
Germany,2021,During,39,3.9,60-30-10,Udemy
France,2020,During,90,0.6,60-30-10,FutureLearn
Mexico,2018,Before,70,1.4,60-30-10,Alura
Brazil,2023,After,39,4.7,60-30-10,Alura
China,2018,Before,62,3.2,60-30-10,Tencent Classroom
Germany,2021,During,50,3.1,60-30-10,Alura
Australia,2018,Before,35,2.1,60-30-10,FutureLearn
South Africa,2018,Before,58,2.0,60-30-10,Alura
China,2017,Before,49,1.8,60-30-10,Alura
UK,2023,After,89,2.8,60-30-10,Alura
France,2024,After,79,4.3,60-30-10,Tencent Classroom
South Korea,2017,Before,86,4.5,60-30-10,Coursera
Russia,2020,During,28,1.0,60-30-10,Tencent Classroom
UK,2019,Before,43,0.9,60-30-10,Coursera
UK,2018,Before,10,4.0,60-30-10,Unacademy
China,2024,After,74,0.5,60-30-10,Udemy
Mexico,2017,Before,49,4.5,60-30-10,Tencent Classroom
Mexico,2021,During,17,1.3,60-30-10,Tencent Classroom
Australia,2019,Before,57,3.0,60-30-10,Udemy
Japan,2018,Before,59,0.6,60-30-10,OpenLearning
UK,2017,Before,41,1.6,60-30-10,Tencent Classroom
Mexico,2017,Before,24,4.1,60-30-10,LinkedIn Learning
South Korea,2017,Before,39,4.9,60-30-10,OpenLearning
South Korea,2018,Before,84,1.1,60-30-10,Skillshare
Japan,2020,During,24,1.4,60-30-10,Coursera
Mexico,2018,Before,88,1.4,60-30-10,Coursera
Mexico,2023,After,28,4.7,60-30-10,OpenLearning
Russia,2020,During,65,1.3,60-30-10,Alura
Japan,2023,After,10,1.7,60-30-10,FutureLearn
Italy,2021,During,19,5.1,60-30-10,Tencent Classroom
Mexico,2018,Before,56,0.9,60-30-10,Udemy
Brazil,2020,During,29,5.4,60-30-10,Alura
Brazil,2023,After,75,1.3,60-30-10,Coursera
South Korea,2021,During,22,3.4,60-30-10,Tencent Classroom
South Korea,2018,Before,81,1.3,60-30-10,Udemy
South Korea,2019,Before,55,4.3,60-30-10,Coursera
Brazil,2017,Before,25,4.8,60-30-10,Skillshare
Australia,2018,Before,38,4.3,60-30-10,Alura
UK,2024,After,87,2.5,60-30-10,Coursera
Germany,2024,After,75,3.7,60-30-10,Tencent Classroom
Japan,2023,After,77,3.2,60-30-10,FutureLearn
Germany,2021,During,38,4.8,N/A,Skillshare
Australia,2017,Before,84,1.1,60-30-10,Alura
France,2017,Before,15,5.4,60-30-10,Coursera
Mexico,2021,During,38,2.1,60-30-10,FutureLearn
South Africa,2017,Before,14,0.7,60-30-10,OpenLearning
UK,2023,After,84,5.0,60-30-10,OpenLearning
France,2019,Before,88,4.9,60-30-10,OpenLearning
South Africa,2020,During,16,0.7,60-30-10,Udemy
South Korea,2023,After,10,5.3,60-30-10,Udemy
Australia,2022,After,31,1.2,60-30-10,Coursera
UK,2019,Before,12,3.4,60-30-10,Tencent Classroom
South Africa,2017,Before,11,0.7,60-30-10,LinkedIn Learning
Germany,2019,Before,57,4.3,60-30-10,Coursera
UK,2022,After,63,2.2,60-30-10,Alura
Brazil,2024,After,47,2.1,60-30-10,FutureLearn
Japan,2020,During,68,3.1,60-30-10,FutureLearn
Italy,2024,After,30,2.3,60-30-10,OpenLearning
Germany,2024,After,53,4.3,60-30-10,OpenLearning
South Korea,2020,During,12,0.9,60-30-10,Alura
Brazil,2022,After,53,0.6,40-50-10,LinkedIn Learning
Russia,2022,After,36,1.8,60-30-10,Tencent Classroom
Italy,2020,During,71,5.3,60-30-10,Udemy
UK,2019,Before,14,4.4,60-30-10,Udemy
Australia,2022,After,20,1.2,60-30-10,Unacademy
South Africa,2018,Before,54,0.7,60-30-10,LinkedIn Learning
Australia,2018,Before,35,2.7,60-30-10,Alura
Australia,2022,After,54,1.1,60-30-10,Skillshare
Italy,2017,Before,29,5.0,60-30-10,OpenLearning
Brazil,2020,During,41,2.6,N/A,OpenLearning
Brazil,2024,After,23,4.2,60-30-10,OpenLearning
Brazil,2024,After,52,3.2,60-30-10,Alura
UK,2018,Before,71,5.4,60-30-10,LinkedIn Learning
Germany,2019,Before,24,4.9,60-30-10,Unacademy
South Korea,2017,Before,57,4.3,60-30-10,LinkedIn Learning
Brazil,2024,After,40,4.3,60-30-10,LinkedIn Learning
Brazil,2017,Before,66,3.5,60-30-10,Alura
South Korea,2020,During,35,2.7,60-30-10,Udemy
Australia,2017,Before,82,1.5,60-30-10,Coursera
France,2023,After,69,2.9,60-30-10,Skillshare
Germany,2017,Before,31,2.7,60-30-10,Udemy
UK,2023,After,33,1.7,60-30-10,Tencent Classroom
Germany,2019,Before,90,3.2,60-30-10,Skillshare
Italy,2021,During,64,4.8,60-30-10,Tencent Classroom
Mexico,2023,After,77,4.5,60-30-10,Unacademy
Australia,2021,During,68,3.8,60-30-10,Alura
China,2021,During,76,4.1,60-30-10,Skillshare
France,2023,After,80,4.4,60-30-10,Alura
Brazil,2019,Before,24,4.1,60-30-10,LinkedIn Learning
South Africa,2019,Before,65,3.0,60-30-10,Alura
France,2021,During,28,3.4,60-30-10,FutureLearn
South Korea,2019,Before,84,5.1,60-30-10,Coursera
France,2020,During,12,5.4,60-30-10,Udemy
South Africa,2023,After,50,0.7,60-30-10,FutureLearn
France,2018,Before,70,1.1,60-30-10,OpenLearning
France,2024,After,45,2.4,60-30-10,Alura
Mexico,2021,During,44,1.1,60-30-10,Coursera
Russia,2017,Before,56,0.6,60-30-10,Alura
UK,2017,Before,19,5.3,60-30-10,Coursera
Mexico,2018,Before,10,4.7,60-30-10,Unacademy
Brazil,2018,Before,30,4.9,60-30-10,Unacademy
Japan,2021,During,72,4.8,,Coursera
Japan,2023,After,67,3.5,60-30-10,Udemy
Germany,2022,After,28,0.7,60-30-10,OpenLearning
Brazil,2020,During,17,2.3,60-30-10,Tencent Classroom
South Korea,2021,During,31,0.7,60-30-10,
Brazil,2018,Before,57,3.4,60-30-10,Unacademy
South Korea,2024,After,21,2.1,60-30-10,N/A
Germany,2023,After,56,3.8,60-30-10,Tencent Classroom
Brazil,2024,After,40,5.2,60-30-10,OpenLearning
Australia,2021,During,51,,60-30-10,Skillshare
France,2019,Before,55,4.7,60-30-10,Unacademy
France,2021,During,89,4.4,60-30-10,Coursera
Australia,2023,After,59,1.9,60-30-10,OpenLearning
Japan,2022,After,34,1.5,60-30-10,Coursera
China,2021,During,21,0.6,60-30-10,LinkedIn Learning
Germany,2021,During,79,4.1,60-30-10,Tencent Classroom
UK,2020,During,14,N/A,60-30-10,Unacademy
Italy,2018,Before,69,5.4,60-30-10,LinkedIn Learning
Germany,2022,After,51,3.3,,Skillshare
Italy,2023,After,40,5.4,60-30-10,Coursera
China,2018,Before,49,5.0,60-30-10,Udemy
Japan,2019,Before,48,4.8,60-30-10,Udemy
South Korea,2019,Before,51,3.4,60-30-10,OpenLearning
Italy,2021,During,63,2.0,60-30-10,Tencent Classroom
Germany,2018,Before,19,1.4,60-30-10,OpenLearning
South Korea,2017,Before,44,3.5,60-30-10,LinkedIn Learning
UK,2024,After,81,4.0,60-30-10,Unacademy
Japan,2018,Before,63,4.7,60-30-10,Coursera
Germany,2019,Before,90,1.3,60-30-10,Unacademy
South Africa,2019,Before,18,3.9,60-30-10,Unacademy
Germany,2024,After,39,1.0,60-30-10,LinkedIn Learning
China,2019,Before,24,4.2,60-30-10,Alura
China,2018,Before,80,3.0,60-30-10,Coursera
Japan,2017,Before,83,1.7,60-30-10,Skillshare
Italy,2023,After,75,4.7,60-30-10,OpenLearning
South Africa,2018,Before,42,4.6,60-30-10,Udemy
China,2019,Before,73,3.7,60-30-10,Skillshare
Brazil,2024,After,14,3.6,60-30-10,Udemy
Australia,2019,Before,,5.1,60-30-10,OpenLearning
Brazil,2018,Before,55,2.4,60-30-10,OpenLearning
Italy,2022,After,76,4.8,60-30-10,OpenLearning
UK,2021,During,48,3.1,60-30-10,Alura
UK,2018,Before,64,0.8,60-30-10,Coursera
Brazil,2021,During,42,5.4,60-30-10,Alura
China,2017,Before,43,2.9,60-30-10,FutureLearn
Russia,2023,After,13,4.9,60-30-10,Tencent Classroom
Germany,2018,Before,12,4.4,60-30-10,LinkedIn Learning
Italy,2017,Before,86,3.3,60-30-10,OpenLearning
Mexico,2018,Before,27,0.7,50-40-10,FutureLearn
Australia,2023,After,73,2.9,60-30-10,Coursera
Russia,2021,During,76,1.6,60-30-10,OpenLearning
South Africa,2018,Before,51,3.2,60-30-10,Skillshare
Germany,2021,During,44,2.3,60-30-10,Tencent Classroom
Italy,2019,Before,88,1.6,60-30-10,LinkedIn Learning
Brazil,2022,After,80,3.8,60-30-10,FutureLearn
Italy,2023,After,57,4.2,60-30-10,OpenLearning
Brazil,2020,During,19,2.1,60-30-10,OpenLearning
Japan,2020,During,17,2.8,60-30-10,LinkedIn Learning
France,2017,Before,38,3.4,60-30-10,Coursera
Australia,2019,Before,74,3.8,60-30-10,Alura
China,2020,During,23,2.4,60-30-10,Unacademy
Australia,2023,After,72,5.3,60-30-10,Udemy
Brazil,2017,Before,27,3.6,60-30-10,OpenLearning
Germany,2022,After,25,2.0,60-30-10,OpenLearning
Russia,2017,Before,81,2.0,60-30-10,LinkedIn Learning
South Africa,2018,Before,18,3.1,60-30-10,Udemy
France,2024,After,73,1.6,60-30-10,Coursera
Germany,2020,During,11,4.1,60-30-10,Coursera
Japan,2021,During,82,2.9,60-30-10,Tencent Classroom
China,2018,Before,24,2.6,60-30-10,LinkedIn Learning
Mexico,2020,During,,3.2,60-30-10,Unacademy
China,2018,Before,40,4.1,60-30-10,OpenLearning
Germany,2021,During,24,5.3,60-30-10,Alura
Brazil,2017,Before,37,3.2,50-40-10,Alura
South Korea,2021,During,54,2.3,50-40-10,Coursera
Mexico,2023,After,75,3.8,60-30-10,FutureLearn
Germany,2017,Before,84,2.0,60-30-10,Unacademy
South Africa,2021,During,32,3.5,60-30-10,Alura
South Africa,2019,Before,50,3.0,60-30-10,FutureLearn
South Africa,2017,Before,89,3.2,60-30-10,OpenLearning
Australia,2019,Before,35,3.4,60-30-10,Coursera
France,2018,Before,63,5.1,60-30-10,Alura
UK,2020,During,80,5.2,60-30-10,LinkedIn Learning
Australia,2021,During,82,0.9,60-30-10,OpenLearning
Russia,2023,After,87,5.1,60-30-10,Udemy
Russia,2021,During,19,2.4,60-30-10,FutureLearn
France,2020,During,47,3.2,60-30-10,Alura
Mexico,2018,Before,45,4.9,60-30-10,Coursera
Germany,2020,During,50,5.4,60-30-10,Unacademy
South Korea,2024,After,48,5.2,60-30-10,Udemy
Russia,2020,During,54,5.1,60-30-10,OpenLearning
China,2017,Before,50,4.0,60-30-10,OpenLearning
South Korea,2022,After,82,4.1,60-30-10,Skillshare
UK,2017,Before,56,1.5,60-30-10,Coursera
Germany,2022,After,88,4.0,60-30-10,Alura
South Africa,2019,Before,45,2.1,60-30-10,Tencent Classroom
Brazil,2017,Before,14,4.9,60-30-10,FutureLearn
Brazil,2019,Before,43,3.0,60-30-10,OpenLearning
UK,2019,Before,85,1.3,60-30-10,Unacademy
South Africa,2023,After,11,1.4,60-30-10,OpenLearning
South Korea,2023,After,87,3.8,60-30-10,Unacademy
Mexico,2022,After,70,4.8,60-30-10,Unacademy
France,2022,After,23,5.0,60-30-10,Unacademy
China,2017,Before,44,0.6,60-30-10,Unacademy
UK,2020,During,29,4.7,60-30-10,Skillshare
Russia,2024,After,48,3.1,60-30-10,Tencent Classroom
Australia,2021,During,27,0.5,60-30-10,Unacademy
Italy,2018,Before,42,0.7,60-30-10,FutureLearn
South Africa,2023,After,72,5.1,60-30-10,Udemy
Germany,2018,Before,16,0.9,60-30-10,Unacademy
South Korea,2023,After,40,2.2,60-30-10,Udemy
South Korea,2018,Before,46,4.5,60-30-10,Tencent Classroom
Russia,2019,Before,13,3.8,60-30-10,Tencent Classroom
Russia,2018,Before,79,3.0,60-30-10,Tencent Classroom
South Korea,2019,Before,77,2.7,60-30-10,Unacademy
Brazil,2021,During,52,3.3,60-30-10,Tencent Classroom
UK,2022,After,17,4.7,50-40-10,Tencent Classroom
UK,2021,During,70,2.7,60-30-10,Skillshare
Mexico,2018,Before,70,1.3,60-30-10,LinkedIn Learning
China,2022,After,80,3.1,60-30-10,OpenLearning
South Korea,2019,Before,46,2.5,60-30-10,Alura
Brazil,2017,Before,75,1.1,60-30-10,LinkedIn Learning
China,2020,During,85,3.2,60-30-10,Coursera
Brazil,2021,During,14,2.1,60-30-10,Skillshare
Australia,2019,Before,51,4.8,60-30-10,Skillshare
Brazil,2019,Before,53,3.6,60-30-10,FutureLearn
Russia,2017,Before,73,3.1,60-30-10,
China,2023,After,23,1.3,60-30-10,FutureLearn
Italy,2023,After,15,5.2,60-30-10,
South Korea,2021,During,17,1.4,60-30-10,Tencent Classroom
Brazil,2017,Before,66,5.4,60-30-10,Alura
Brazil,2018,Before,79,2.0,60-30-10,Tencent Classroom
UK,2023,After,52,1.8,60-30-10,LinkedIn Learning
Japan,2024,After,89,4.5,60-30-10,Udemy
Russia,2017,Before,63,3.4,60-30-10,LinkedIn Learning
South Korea,2018,Before,16,4.7,60-30-10,Coursera
Mexico,2020,During,85,4.8,60-30-10,Unacademy
South Korea,2021,During,61,3.1,60-30-10,LinkedIn Learning
France,2020,During,77,4.5,60-30-10,Unacademy
South Korea,2020,During,61,3.9,60-30-10,Coursera
UK,2019,Before,86,4.7,60-30-10,Skillshare
Australia,2024,After,62,1.3,60-30-10,Tencent Classroom
Germany,2022,After,29,4.5,60-30-10,Alura
Russia,2021,During,43,3.6,60-30-10,Unacademy
Germany,2024,After,46,2.2,60-30-10,Coursera
Italy,2021,During,42,1.8,60-30-10,Coursera
Brazil,2021,During,21,5.0,60-30-10,OpenLearning
Brazil,2021,During,12,5.4,60-30-10,LinkedIn Learning
UK,2024,After,76,4.7,60-30-10,Skillshare
South Korea,2022,After,40,1.9,60-30-10,FutureLearn
France,2019,Before,90,1.0,60-30-10,Tencent Classroom
France,2023,After,89,4.7,60-30-10,Tencent Classroom
France,2017,Before,85,3.8,60-30-10,OpenLearning
South Africa,2019,Before,61,2.9,60-30-10,FutureLearn
South Africa,2018,Before,52,0.8,60-30-10,Coursera
Mexico,2018,Before,55,3.3,60-30-10,Coursera
China,2018,Before,50,1.8,60-30-10,Tencent Classroom
Mexico,2017,Before,20,5.4,60-30-10,LinkedIn Learning
UK,2021,During,87,2.9,60-30-10,Udemy
South Korea,2018,Before,40,2.7,60-30-10,Coursera
South Korea,2021,During,67,4.3,60-30-10,Udemy
Brazil,2023,After,23,0.9,60-30-10,OpenLearning
South Africa,2020,During,19,3.8,60-30-10,Alura
Germany,2023,After,38,1.1,60-30-10,FutureLearn
South Korea,2022,After,26,0.8,60-30-10,Alura
South Africa,2018,Before,14,5.4,60-30-10,FutureLearn
France,2019,Before,61,2.0,60-30-10,OpenLearning
Japan,2018,Before,89,5.0,60-30-10,Coursera
Russia,2021,During,26,1.0,60-30-10,Alura
South Korea,2019,Before,28,5.2,60-30-10,Skillshare
UK,2018,Before,57,3.4,60-30-10,Coursera
UK,2021,During,39,5.3,60-30-10,Udemy
Germany,2018,Before,45,1.8,60-30-10,FutureLearn
UK,2022,After,81,2.2,60-30-10,LinkedIn Learning
France,2023,After,40,5.3,60-30-10,FutureLearn
Russia,2017,Before,89,5.4,60-30-10,Tencent Classroom
Italy,2024,After,55,0.9,60-30-10,FutureLearn
Germany,2020,During,,2.4,60-30-10,Unacademy
Mexico,2018,Before,77,4.0,60-30-10,Udemy
South Korea,2020,During,63,1.6,60-30-10,Unacademy
Brazil,2017,Before,66,4.3,60-30-10,Tencent Classroom
Japan,2023,After,69,2.9,60-30-10,Coursera
France,2017,Before,34,4.1,50-40-10,Alura
Germany,2018,Before,45,2.4,60-30-10,OpenLearning
China,2022,After,27,0.8,60-30-10,Tencent Classroom
Germany,2018,Before,43,2.4,60-30-10,OpenLearning
Australia,2020,During,40,4.5,60-30-10,LinkedIn Learning
Australia,2022,After,37,5.4,60-30-10,Skillshare
Germany,2019,Before,33,4.5,60-30-10,Skillshare
South Korea,2020,During,36,3.5,60-30-10,LinkedIn Learning
Germany,2021,During,84,3.6,N/A,Tencent Classroom
China,2023,After,45,3.3,60-30-10,Unacademy
Germany,2017,Before,65,4.1,60-30-10,Skillshare
Russia,2021,During,54,5.4,60-30-10,Coursera
Mexico,2017,Before,14,1.1,60-30-10,LinkedIn Learning
Brazil,2017,Before,34,4.4,60-30-10,Coursera
Brazil,2017,Before,31,2.2,60-30-10,Unacademy
Italy,2017,Before,55,0.7,60-30-10,Coursera
South Korea,2019,Before,30,5.4,60-30-10,Alura
Japan,2021,During,72,2.3,60-30-10,Unacademy
Russia,2018,Before,41,1.7,60-30-10,Tencent Classroom
Mexico,2023,After,48,1.1,60-30-10,OpenLearning
Brazil,2020,During,51,0.5,60-30-10,OpenLearning
Germany,2018,Before,79,N/A,60-30-10,Udemy
France,2020,During,73,1.5,60-30-10,Udemy
Russia,2019,Before,63,4.1,N/A,Udemy
South Africa,2017,Before,22,3.6,60-30-10,Skillshare
Australia,2021,During,67,1.1,60-30-10,Alura
Brazil,2022,After,80,4.7,60-30-10,Skillshare
Japan,2024,After,,1.2,60-30-10,Coursera
Japan,2023,After,15,2.1,60-30-10,Coursera
Japan,2021,During,11,4.5,60-30-10,LinkedIn Learning
Germany,2020,During,50,0.6,60-30-10,Coursera
Japan,2022,After,45,3.7,60-30-10,LinkedIn Learning
Japan,2021,During,25,4.1,N/A,Coursera
Mexico,2023,After,36,2.7,40-50-10,Coursera
South Korea,2021,During,56,0.8,60-30-10,Unacademy
Russia,2018,Before,90,4.6,60-30-10,FutureLearn
Italy,2023,After,66,2.2,60-30-10,Alura
Japan,2018,Before,84,3.8,60-30-10,Coursera
UK,2023,After,62,2.4,60-30-10,LinkedIn Learning
China,2023,After,50,3.6,60-30-10,Coursera
Brazil,2019,Before,26,2.6,60-30-10,FutureLearn
China,2017,Before,71,1.2,60-30-10,FutureLearn
UK,2023,After,10,1.7,60-30-10,Udemy
China,2017,Before,85,2.2,60-30-10,OpenLearning
Australia,2023,After,28,4.6,60-30-10,FutureLearn
China,2023,After,39,2.4,60-30-10,OpenLearning
Brazil,2017,Before,81,2.0,60-30-10,Udemy
China,2023,After,34,0.9,60-30-10,Alura
Germany,2024,After,66,4.2,60-30-10,Unacademy
Italy,2021,During,29,4.5,60-30-10,Skillshare
UK,2024,After,88,2.9,60-30-10,Tencent Classroom
UK,2023,After,30,5.5,60-30-10,Tencent Classroom
China,2024,After,26,5.5,60-30-10,Alura
South Africa,2018,Before,56,1.9,60-30-10,Alura
Australia,2019,Before,56,4.0,60-30-10,Coursera
South Africa,2023,After,75,5.2,60-30-10,FutureLearn
Brazil,2023,After,35,4.1,60-30-10,Coursera
Germany,2019,Before,52,5.5,60-30-10,Tencent Classroom
Italy,2022,After,45,4.1,60-30-10,Alura
South Korea,2018,Before,65,1.0,60-30-10,Unacademy
China,2018,Before,18,3.8,60-30-10,Tencent Classroom
Brazil,2019,Before,56,5.4,60-30-10,FutureLearn
UK,2017,Before,N/A,1.3,60-30-10,Alura
Australia,2024,After,70,0.6,60-30-10,Coursera
Germany,2024,After,68,3.2,60-30-10,OpenLearning
UK,2021,During,15,5.0,60-30-10,Unacademy
South Africa,2019,Before,42,3.3,60-30-10,OpenLearning
Germany,2022,After,21,4.8,60-30-10,
Australia,2022,After,54,4.0,60-30-10,Skillshare
South Africa,2017,Before,75,4.6,60-30-10,Coursera
Russia,2018,Before,36,1.1,60-30-10,LinkedIn Learning
South Africa,2022,After,81,2.3,60-30-10,Unacademy
Japan,2019,Before,29,1.5,60-30-10,Unacademy
Russia,2018,Before,28,2.8,60-30-10,OpenLearning
Italy,2019,Before,85,5.5,60-30-10,Tencent Classroom
Mexico,2019,Before,66,2.7,60-30-10,Unacademy
China,2024,After,21,4.5,60-30-10,Unacademy
Germany,2022,After,48,3.0,60-30-10,Tencent Classroom
Japan,2018,Before,88,2.9,60-30-10,OpenLearning
Brazil,2022,After,30,4.6,60-30-10,LinkedIn Learning
Australia,2019,Before,51,3.6,60-30-10,Coursera
UK,2021,During,28,2.5,60-30-10,Udemy
Brazil,2024,After,53,3.2,60-30-10,Skillshare
Russia,2023,After,71,1.3,60-30-10,LinkedIn Learning
France,2021,During,16,4.7,60-30-10,Tencent Classroom
Australia,2021,During,74,5.1,60-30-10,Unacademy
France,2017,Before,68,2.3,60-30-10,FutureLearn
France,2018,Before,78,1.9,60-30-10,LinkedIn Learning
China,2023,After,34,5.3,60-30-10,Coursera
Italy,2021,During,49,1.0,60-30-10,
Russia,2017,Before,34,1.8,60-30-10,Skillshare
China,2020,During,81,0.6,60-30-10,LinkedIn Learning
Germany,2024,After,29,4.5,60-30-10,Alura
Germany,2023,After,40,0.9,60-30-10,Coursera
Germany,2021,During,63,5.5,,Skillshare
Japan,2022,After,43,1.3,60-30-10,OpenLearning
UK,2019,Before,84,4.2,60-30-10,Skillshare
UK,2019,Before,61,1.2,60-30-10,
Japan,2017,Before,74,5.3,60-30-10,FutureLearn
South Africa,2019,Before,23,2.6,60-30-10,Coursera
Germany,2024,After,47,0.6,60-30-10,LinkedIn Learning
Japan,2019,Before,55,1.3,60-30-10,Skillshare
France,2024,After,78,4.5,60-30-10,Udemy
Russia,2023,After,90,1.9,60-30-10,OpenLearning
South Africa,2017,Before,84,1.9,60-30-10,Udemy
Germany,2020,During,71,1.5,60-30-10,Alura
UK,2023,After,62,0.7,60-30-10,Unacademy
South Korea,2017,Before,43,0.9,60-30-10,LinkedIn Learning
Australia,2019,Before,85,2.0,60-30-10,Tencent Classroom
South Africa,2022,After,80,4.4,60-30-10,OpenLearning
UK,2022,After,82,4.9,60-30-10,Coursera
Italy,2024,After,11,1.8,60-30-10,Tencent Classroom
Germany,2020,During,13,5.1,60-30-10,Alura
UK,2024,After,26,3.6,60-30-10,Coursera
Japan,2022,After,36,3.0,60-30-10,Alura
Japan,2020,During,48,4.5,60-30-10,Udemy
Brazil,2022,After,39,4.7,60-30-10,Unacademy
South Korea,2020,During,18,4.4,60-30-10,OpenLearning
China,2022,After,34,4.0,60-30-10,Coursera
Germany,2017,Before,73,3.1,60-30-10,Skillshare
South Africa,2021,During,19,4.3,60-30-10,Alura
South Korea,2024,After,27,4.9,60-30-10,Unacademy
South Korea,2022,After,36,4.0,60-30-10,Unacademy
Australia,2024,After,89,5.2,60-30-10,OpenLearning
South Korea,2019,Before,28,1.7,60-30-10,FutureLearn
Japan,2023,After,34,3.5,60-30-10,Tencent Classroom
China,2023,After,78,2.2,60-30-10,Skillshare
France,2019,Before,43,1.3,60-30-10,Alura
Italy,2024,After,36,1.2,60-30-10,OpenLearning
France,2020,During,68,5.4,60-30-10,Alura
Italy,2020,During,62,5.0,60-30-10,Skillshare
South Korea,2024,After,77,1.6,60-30-10,Tencent Classroom
South Korea,2018,Before,46,1.8,60-30-10,OpenLearning
China,2022,After,30,3.2,60-30-10,Tencent Classroom
Australia,2024,After,23,3.5,60-30-10,Coursera
China,2017,Before,67,4.7,60-30-10,LinkedIn Learning
Australia,2022,After,53,2.0,60-30-10,Skillshare
China,2020,During,75,2.2,60-30-10,Unacademy
Germany,2018,Before,65,0.7,60-30-10,Unacademy
UK,2019,Before,61,1.8,60-30-10,OpenLearning
Germany,2023,After,23,0.7,60-30-10,OpenLearning
South Korea,2017,Before,25,2.3,60-30-10,Skillshare
Italy,2023,After,77,5.3,60-30-10,Skillshare
Germany,2023,After,20,1.3,60-30-10,Alura
Italy,2020,During,85,0.6,60-30-10,Udemy
Germany,2018,Before,59,3.2,60-30-10,FutureLearn
China,2022,After,53,4.1,60-30-10,Coursera
Australia,2022,After,43,4.8,60-30-10,Skillshare
France,2019,Before,37,4.0,40-50-10,LinkedIn Learning
Mexico,2017,Before,25,1.9,60-30-10,Unacademy
Australia,2018,Before,,1.4,60-30-10,Udemy
Germany,2019,Before,33,4.4,60-30-10,Udemy
Brazil,2023,After,61,0.6,60-30-10,Coursera
Italy,2023,After,77,1.0,60-30-10,Skillshare
France,2024,After,36,3.1,60-30-10,FutureLearn
Brazil,2023,After,50,1.3,60-30-10,FutureLearn
Brazil,2021,During,50,5.5,60-30-10,LinkedIn Learning
UK,2021,During,13,3.8,60-30-10,Tencent Classroom
France,2021,During,32,4.7,60-30-10,Coursera
France,2019,Before,78,1.5,60-30-10,Unacademy
Germany,2022,After,56,0.8,60-30-10,OpenLearning
Japan,2017,Before,85,5.5,60-30-10,FutureLearn
China,2019,Before,70,2.1,60-30-10,Skillshare
Australia,2022,After,60,1.1,60-30-10,Udemy
Mexico,2023,After,79,4.3,60-30-10,Unacademy
Germany,2023,After,75,2.9,60-30-10,FutureLearn
Australia,2017,Before,72,2.6,60-30-10,Skillshare
Germany,2021,During,52,4.8,60-30-10,Tencent Classroom
Russia,2021,During,19,2.8,60-30-10,Unacademy
Australia,2017,Before,88,4.1,60-30-10,FutureLearn
Australia,2021,During,84,3.3,60-30-10,Skillshare
South Africa,2024,After,59,2.9,60-30-10,Udemy
Germany,2018,Before,61,0.7,60-30-10,Udemy
South Africa,2022,After,71,2.8,60-30-10,Skillshare
UK,2022,After,65,4.2,60-30-10,OpenLearning
Brazil,2023,After,67,1.7,60-30-10,OpenLearning
Japan,2021,During,58,3.0,60-30-10,Unacademy
UK,2024,After,75,3.0,60-30-10,Tencent Classroom
South Africa,2023,After,32,3.2,60-30-10,Unacademy
Brazil,2017,Before,40,5.5,60-30-10,Unacademy
China,2023,After,17,4.0,50-40-10,Tencent Classroom
France,2021,During,46,1.3,60-30-10,Udemy
Brazil,2023,After,44,1.0,60-30-10,Unacademy
China,2022,After,53,2.0,,Unacademy
South Africa,2019,Before,81,1.6,60-30-10,FutureLearn
Italy,2018,Before,12,0.9,60-30-10,Tencent Classroom
Russia,2023,After,39,3.9,60-30-10,LinkedIn Learning
France,2023,After,23,2.1,60-30-10,LinkedIn Learning
South Korea,2017,Before,61,1.3,60-30-10,Unacademy
France,2021,During,17,3.0,60-30-10,Udemy
China,2018,Before,59,2.7,60-30-10,Coursera
Germany,2022,After,44,3.1,60-30-10,FutureLearn
Russia,2017,Before,32,1.4,60-30-10,Skillshare
Japan,2018,Before,34,3.9,60-30-10,OpenLearning
South Korea,2020,During,21,3.8,60-30-10,Coursera
South Africa,2021,During,69,5.1,60-30-10,Unacademy
Australia,2020,During,53,0.9,60-30-10,Alura
China,2019,Before,63,3.4,60-30-10,Alura
China,2021,During,89,4.7,60-30-10,Skillshare
Italy,2024,After,88,2.5,60-30-10,OpenLearning
Brazil,2024,After,65,2.9,60-30-10,Tencent Classroom
Russia,2017,Before,31,2.5,60-30-10,LinkedIn Learning
UK,2024,After,10,3.1,60-30-10,FutureLearn
South Africa,2018,Before,60,1.1,60-30-10,Unacademy
China,2018,Before,23,4.2,60-30-10,OpenLearning
South Korea,2022,After,50,4.1,60-30-10,LinkedIn Learning
Italy,2018,Before,58,2.1,60-30-10,Alura
China,2017,Before,21,3.8,60-30-10,Udemy
Australia,2017,Before,13,2.3,,Coursera
Mexico,2021,During,33,2.5,,OpenLearning
South Africa,2024,After,46,2.1,50-40-10,Skillshare
Japan,2021,During,11,4.0,60-30-10,FutureLearn
Italy,2024,After,15,3.9,60-30-10,Unacademy
UK,2023,After,77,3.8,60-30-10,FutureLearn
